latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.0001,102.7059,313.1,1.1,1.1,2024-01-02,0716,Aqua,MODIS,42,61.03,293,7.8,D,2
0.2268,101.8096,314.5,1,1,2024-01-02,0716,Aqua,MODIS,48,61.03,295.2,6.6,D,0
0.2255,101.8005,314.4,1,1,2024-01-02,0716,Aqua,MODIS,38,61.03,295.3,6.9,D,0
1.8877,100.0965,312,1,1,2024-01-05,0318,Terra,MODIS,63,61.03,294.9,6.3,D,0
1.0326,103.9724,311.4,1.4,1.2,2024-01-17,0314,Terra,MODIS,37,61.03,291.8,9,D,2
2.2214,98.7934,312.8,1.1,1,2024-01-21,0717,Aqua,MODIS,63,61.03,297,7.7,D,0
1.0051,102.7095,313.9,1.5,1.2,2024-01-22,0320,Terra,MODIS,58,61.03,295.8,11.8,D,2
0.8454,102.2744,312.4,1.4,1.2,2024-01-22,0320,Terra,MODIS,49,61.03,296.5,10.4,D,0
0.614,102.7891,311.2,1.5,1.2,2024-01-22,0320,Terra,MODIS,57,61.03,295.3,10.7,D,0
0.8586,99.565,314.7,1,1,2024-01-22,0321,Terra,MODIS,57,61.03,299,7.2,D,2
0.8628,102.1305,312.6,1.2,1.1,2024-01-23,0701,Aqua,MODIS,20,61.03,293,6.8,D,0
-0.9244,102.9378,310.4,2.1,1.4,2024-01-25,0645,Aqua,MODIS,63,61.03,291.1,16.3,D,0
0.2379,99.2353,318,1,1,2024-01-26,0727,Aqua,MODIS,70,61.03,296.5,8,D,0
0.292,99.2209,330.3,1,1,2024-01-26,0727,Aqua,MODIS,85,61.03,295.5,20.7,D,0
0.2843,99.2312,319.4,1,1,2024-01-26,0727,Aqua,MODIS,49,61.03,296.7,8.3,D,0
0.894,101.9772,317.2,1.4,1.2,2024-01-26,0727,Aqua,MODIS,35,61.03,298,11.6,D,0
0.8571,99.5637,318.5,1,1,2024-01-26,0727,Aqua,MODIS,58,61.03,299.7,8.7,D,2
0.7425,103.4721,309.3,2.3,1.5,2024-01-27,0327,Terra,MODIS,59,61.03,292.3,14.6,D,0
0.7395,103.4922,309.6,2.3,1.5,2024-01-27,0327,Terra,MODIS,45,61.03,292.3,14.4,D,0
0.7414,103.4859,311.8,2.3,1.5,2024-01-27,0327,Terra,MODIS,37,61.03,292.4,17.9,D,0
0.4388,101.8829,310.1,1.7,1.3,2024-01-27,0327,Terra,MODIS,53,61.03,292.6,12.5,D,0
0.7415,103.4843,303.3,1.5,1.2,2024-01-27,1850,Aqua,MODIS,54,61.03,292.8,7.2,N,0
0.6435,102.8308,320.4,1,1,2024-01-28,0711,Aqua,MODIS,44,61.03,301.7,11.3,D,0
1.6752,101.4676,304.5,1.6,1.2,2024-01-28,1450,Terra,MODIS,60,61.03,292.4,7,N,2
0.7399,103.4824,305.9,1.2,1.1,2024-01-28,1450,Terra,MODIS,57,61.03,293.8,6.3,N,0
1.6684,101.4763,304.9,1.6,1.2,2024-01-28,1450,Terra,MODIS,62,61.03,292.1,7.4,N,2
2.1633,101.0416,315.2,1,1,2024-01-29,0310,Terra,MODIS,64,61.03,298.6,7,D,0
