latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-0.7831,101.4002,309.9,4.7,2,2025-06-21,717,Aqua,MODIS,57,61.03,290.7,43.4,D,0
-0.7821,101.3959,309.1,4.7,2,2025-06-21,717,Aqua,MODIS,53,61.03,290.8,37.7,D,0
-0.9225,101.3733,306.7,1,1,2025-06-21,1432,Terra,MODIS,69,61.03,290.4,6.7,N,0
-0.0527,100.5361,300.1,1.1,1,2025-06-21,1432,Terra,MODIS,16,61.03,287.9,4.1,N,0
1.0366,98.9744,306,1.3,1.1,2025-06-21,1432,Terra,MODIS,66,61.03,293.1,7.9,N,0
1.0382,98.9855,312.8,1.3,1.1,2025-06-21,1432,Terra,MODIS,86,61.03,293.2,14.6,N,0
1.6726,101.473,309.7,1,1,2025-06-21,1433,Terra,MODIS,78,61.03,294.3,7.4,N,2
0.9087,101.954,312.6,1.6,1.2,2025-06-22,251,Terra,MODIS,51,61.03,298.6,13,D,0
2.3091,98.7988,312.9,1,1,2025-06-22,251,Terra,MODIS,72,61.03,294.1,8.8,D,0
2.5333,98.65,322.4,1,1,2025-06-22,251,Terra,MODIS,80,61.03,296.3,17,D,0
2.541,98.8582,310.2,1,1,2025-06-22,251,Terra,MODIS,66,61.03,292.6,8.4,D,0
0.0965,100.7157,307.7,1.3,1.1,2025-06-22,252,Terra,MODIS,36,61.03,294.2,5.8,D,0
0.1452,100.8008,318.5,1.4,1.2,2025-06-22,252,Terra,MODIS,74,61.03,295.9,18.2,D,0
0.1978,100.7958,308.7,1.4,1.2,2025-06-22,252,Terra,MODIS,55,61.03,294.7,6.2,D,0
-0.1972,101.1557,320.7,1,1,2025-06-22,756,Aqua,MODIS,74,61.03,295.6,12.5,D,0
0.2835,99.2537,323.4,1.2,1.1,2025-06-22,756,Aqua,MODIS,52,61.03,297.2,15.9,D,0
0.2935,99.2256,317.1,1.2,1.1,2025-06-22,756,Aqua,MODIS,52,61.03,298.4,10.3,D,0
0.4031,100.3944,311.3,1.1,1,2025-06-22,756,Aqua,MODIS,45,61.03,294.9,6.1,D,0
0.4294,99.4495,318.4,1.2,1.1,2025-06-22,756,Aqua,MODIS,72,61.03,298.6,12,D,0
0.4309,99.4596,315.9,1.2,1.1,2025-06-22,756,Aqua,MODIS,68,61.03,297.6,9.3,D,0
