latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,pixel_x,pixel_y,inside_image,kabupaten,kecamatan,sampled_probability,min_distance_px,min_distance_km,match_1km,match_3km,match_5km
1.8739,100.6913,357.1,1,1,2025-07-19,235,Terra,MODIS,98,61.03,294.5,70.9,D,0,489.148,176.911,True,Rokan Hilir,,0.520291,,,False,False,False
1.8752,100.6826,355.9,1,1,2025-07-19,235,Terra,MODIS,98,61.03,297.1,67.9,D,0,487.451,176.657,True,Rokan Hilir,,0.520266,,,False,False,False
1.8764,100.6738,343.3,1,1,2025-07-19,235,Terra,MODIS,92,61.03,297.8,42,D,0,485.734,176.423,True,Rokan Hilir,,0.519263,,,False,False,False
1.8802,100.7101,335.1,1,1,2025-07-19,235,Terra,MODIS,88,61.03,295.6,29.4,D,0,492.816,175.681,True,Rokan Hilir,,0.520291,,,False,False,False
1.8815,100.7013,409,1,1,2025-07-19,235,Terra,MODIS,100,61.03,306.6,305.7,D,0,491.099,175.427,True,Rokan Hilir,,0.520291,,,False,False,False
1.8827,100.6926,382.2,1,1,2025-07-19,235,Terra,MODIS,100,61.03,304,155.5,D,0,489.402,175.193,True,Rokan Hilir,,0.520291,,,False,False,False
1.884,100.6838,361.3,1,1,2025-07-19,235,Terra,MODIS,100,61.03,301.4,82.3,D,0,487.685,174.939,True,Rokan Hilir,,0.520291,,,False,False,False
1.8853,100.675,335.9,1,1,2025-07-19,235,Terra,MODIS,88,61.03,298.7,30,D,0,485.968,174.685,True,Rokan Hilir,,0.519263,,,False,False,False
1.8865,100.6663,327.3,1,1,2025-07-19,235,Terra,MODIS,77,61.03,295.8,18.6,D,0,484.27,174.451,True,Rokan Hilir,,0.487298,,,False,False,False
1.8877,100.7201,325.4,1,1,2025-07-19,235,Terra,MODIS,81,61.03,297.4,17,D,0,494.767,174.217,True,Rokan Hilir,,0.520291,,,False,False,False
1.889,100.7113,343.7,1,1,2025-07-19,235,Terra,MODIS,93,61.03,299.5,43.6,D,0,493.05,173.963,True,Rokan Hilir,,0.520291,,,False,False,False
1.8903,100.7026,352,1,1,2025-07-19,235,Terra,MODIS,96,61.03,299.6,59.4,D,0,491.353,173.709,True,Rokan Hilir,,0.520291,,,False,False,False
1.8915,100.6938,341.5,1,1,2025-07-19,235,Terra,MODIS,91,61.03,297,38.5,D,0,489.636,173.475,True,Rokan Hilir,,0.520291,,,False,False,False
1.8928,100.685,320.5,1,1,2025-07-19,235,Terra,MODIS,53,61.03,294.5,11.8,D,0,487.919,173.221,True,Rokan Hilir,,0.520291,,,False,False,False
1.8941,100.6762,319.9,1,1,2025-07-19,235,Terra,MODIS,76,61.03,294.2,12.3,D,0,486.202,172.967,True,Rokan Hilir,,0.519263,,,False,False,False
1.9007,100.7101,344.9,1,1,2025-07-19,235,Terra,MODIS,60,61.03,296.4,40.5,D,0,492.816,171.679,True,Rokan Hilir,,0.520291,,,False,False,False
2.3224,100.3432,314.4,1,1,2025-07-19,235,Terra,MODIS,68,61.03,297.9,6.4,D,0,421.23,89.345,True,Rokan Hilir,,0.520291,,,False,False,False
2.3237,100.3342,311.8,1,1,2025-07-19,235,Terra,MODIS,54,61.03,297.4,4.6,D,0,419.474,89.091,True,Rokan Hilir,,0.520291,,,False,False,False
2.4409,102.6528,312.8,1.1,1,2025-07-19,235,Terra,MODIS,65,61.03,295.9,6.6,D,0,871.857,66.204,True,,,0.520278,,,False,False,False
2.4895,100.2632,322.7,1,1,2025-07-19,235,Terra,MODIS,78,61.03,296.4,15.4,D,0,405.621,56.713,True,,,0.519263,,,False,False,False
2.4908,100.2542,314.8,1,1,2025-07-19,235,Terra,MODIS,58,61.03,298.4,7.7,D,0,403.865,56.459,True,,,0.487298,,,False,False,False
2.4984,100.2645,331.7,1,1,2025-07-19,235,Terra,MODIS,85,61.03,297.6,25.5,D,0,405.875,54.975,True,,,0.519263,,,False,False,False
2.531,100.2384,307.9,1,1,2025-07-19,235,Terra,MODIS,41,61.03,293.5,3.2,D,0,400.782,48.608,True,,,0.355874,,,False,False,False
-0.8286,100.9286,309.5,1,1,2025-07-19,236,Terra,MODIS,67,61.03,275.3,8.8,D,0,535.448,704.268,True,,,0.520291,,,False,False,False
-0.7366,101.3857,319.7,1,1,2025-07-19,236,Terra,MODIS,79,61.03,295.2,14.1,D,0,624.633,686.316,True,,,0.520291,,,False,False,False
-0.6318,100.6564,309.6,1,1,2025-07-19,236,Terra,MODIS,67,61.03,290.2,5.5,D,0,482.339,665.867,True,,,0.40095,,,False,False,False
0.2418,102.3492,328.1,1.1,1,2025-07-19,236,Terra,MODIS,85,61.03,283.4,27.7,D,0,812.622,495.416,True,Pelalawan,,0.520291,,,False,False,False
0.2431,102.3399,304.2,1.1,1,2025-07-19,236,Terra,MODIS,43,61.03,281.2,4.7,D,0,810.807,495.162,True,Pelalawan,,0.520291,,,False,False,False
0.5294,100.4114,313,1,1,2025-07-19,236,Terra,MODIS,53,61.03,291.4,8.1,D,0,434.537,439.3,True,Rokan Hulu,,0.520291,,,False,False,False
0.5382,100.4126,313.8,1,1,2025-07-19,236,Terra,MODIS,56,61.03,290.4,8.8,D,0,434.771,437.583,True,Rokan Hulu,,0.520291,,,False,False,False
0.647,100.44,301.7,1,1,2025-07-19,236,Terra,MODIS,42,61.03,280.3,2.9,D,0,440.117,416.354,True,Rokan Hulu,,0.520291,,,False,False,False
0.676,100.1598,308.1,1,1,2025-07-19,236,Terra,MODIS,54,61.03,282.9,7.2,D,0,385.447,410.696,True,,,0.520291,,,False,False,False
0.6962,100.3484,308.6,1,1,2025-07-19,236,Terra,MODIS,67,61.03,286.4,6.4,D,0,422.245,406.754,True,Rokan Hulu,,0.520266,,,False,False,False
0.7555,100.39,309.7,1,1,2025-07-19,236,Terra,MODIS,69,61.03,288.8,5.7,D,0,430.361,395.183,True,Rokan Hulu,,0.511864,,,False,False,False
